src, tgt
8-1+5=, 12
3-0+9=, 12
7-5-6=, -4
2-4+3=, 1
2-6+0=, -4
1-1+0=, 0
1+8-1=, 8
6-9-2=, -5
4-1-7=, -4
2+9-9=, 2
7+0+7=, 14
5-8+0=, -3
4-7+3=, 0
9-6+8=, 11
4-5+4=, 3
7+9-5=, 11
8+3+4=, 15
9-2-2=, 5
7-4-0=, 3
2-5-8=, -11
3+7-7=, 3
1-6-9=, -14
9-8+7=, 8
2-7+7=, 2
3+0+2=, 5
3+5+2=, 10
7+2-9=, 0
1-4-8=, -11
6-1-7=, -2
6+2-2=, 6
3+9+0=, 12
0-4+6=, 2
5-6+2=, 1
9+3+6=, 18
0+4+5=, 9
4+5+8=, 17
6-6+1=, 1
4+5-2=, 7
2-4+2=, 0
8-8+3=, 3
1+5-4=, 2
2-6+8=, 4
1-2-9=, -10
3+4-3=, 4
2-3+9=, 8
0-0+9=, 9
5+7-7=, 5
6-1+2=, 7
5+4-0=, 9
9-4+7=, 12
8-3-9=, -4
7-0+1=, 8
4-9+0=, -5
7+6-5=, 8
5-4-6=, -5
2-3-2=, -3
5+4+9=, 18
6+3-4=, 5
4-9-5=, -10
0+3-7=, -4
5+0+4=, 9
0-1-0=, -1
0+1+2=, 3
4-5+3=, 2
6-2+3=, 7
3-3-8=, -8
2-0+6=, 8
4+3+6=, 13
2-7+0=, -5
0+0-1=, -1
1-3-5=, -7
0-4-2=, -6
4+4-8=, 0
8+1+6=, 15
3-1+0=, 2
3-4-7=, -8
5-0-4=, 1
0-3+7=, 4
9-5+4=, 8
3-1-9=, -7
9-8-9=, -8
2-8-3=, -9
8-0-1=, 7
1-8-8=, -15
9-4-9=, -4
1+9+4=, 14
9-2+4=, 11
0-8+1=, -7
6-4-2=, 0
1-9+3=, -5
2+8+1=, 11
7+2+5=, 14
4-6+4=, 2
1-5-4=, -8
5-2-4=, -1
6+5+5=, 16
2+4-0=, 6
5-7-4=, -6
8-3-0=, 5
7-5-8=, -6
2-9+7=, 0
5-2+6=, 9
4-7-3=, -6
8+2-9=, 1
8+4-3=, 9
4+0-8=, -4
4+3+2=, 9
7-1-4=, 2
7+1-3=, 5
7+4-7=, 4
2-4+6=, 4
5+1+7=, 13
3+1+1=, 5
2+0+2=, 4
7-6-9=, -8
1-2-7=, -8
3-0-8=, -5
7-7+6=, 6
3+7-8=, 2
3+2+8=, 13
6-8+5=, 3
6-6-0=, 0
6+7+6=, 19
2-0-1=, 1
0-4+7=, 3
4+8-8=, 4
7+5-9=, 3
6+9-3=, 12
4-6-3=, -5
6-9+5=, 2
5+2+9=, 16
7-9-2=, -4
0-8-7=, -15
1+6+6=, 13
5-1-3=, 1
5+5-8=, 2
4+3+1=, 8
0+3-7=, -4
4+2+0=, 6
1+2-1=, 2
9+3-9=, 3
7+1-7=, 1
3-0+4=, 7
3+4+0=, 7
3-7-8=, -12
0-2+7=, 5
0-0-9=, -9
0+4-1=, 3
0+9-6=, 3
3-6-8=, -11
7-5+2=, 4
4-0+1=, 5
5+9+3=, 17
9+6+1=, 16
4-1+0=, 3
9+8+3=, 20
3+5+3=, 11
8-0+1=, 9
9-5-4=, 0
5-8-3=, -6
2-3+9=, 8
4-2+3=, 5
7-7-9=, -9
1-1+7=, 7
0+2+4=, 6
0+1-1=, 0
0+6+7=, 13
1-4+3=, 0
2-3-9=, -10
0-1-4=, -5
9-6+5=, 8
7+7+8=, 22
2+4+3=, 9
2-2-0=, 0
0-8-6=, -14
8+7-5=, 10
5-0-1=, 4
0+7+7=, 14
0+6-7=, -1
5-6+2=, 1
3-4-9=, -10
3+0-4=, -1
3+7+3=, 13
4-9+2=, -3
1-6-6=, -11
0+1-9=, -8
8-7+2=, 3
7+1-2=, 6
2-7-4=, -9
8-6+0=, 2
0-1-8=, -9
5-6+0=, -1
9-0-4=, 5
8-6-9=, -7
4+1-1=, 4
9+2-0=, 11
7+1+6=, 14
0-9+1=, -8
8+1-4=, 5
4+6-4=, 6
8-8+7=, 7
2-5-4=, -7
9-1+1=, 9
6-4-6=, -4
6+0+5=, 11
0+6-6=, 0
2+2-3=, 1
5-5+8=, 8
6-2-5=, -1
9+5+5=, 19
4+1-9=, -4
7+3-0=, 10
3-6-5=, -8
8-8-7=, -7
4+7-3=, 8
2+4-3=, 3
2-8-4=, -10
5-4-4=, -3
3+4+7=, 14
5-3-7=, -5
8-0+5=, 13
6-4+2=, 4
1-4-3=, -6
9+8-8=, 9
8-4-2=, 2
7+9+3=, 19
3+9+8=, 20
0+9+5=, 14
6+2-8=, 0
1+4+5=, 10
6+3+7=, 16
1-3-0=, -2
3-4+9=, 8
8+9+3=, 20
9+2+1=, 12
0+8-9=, -1
8-9-3=, -4
2+1-8=, -5
5+0-5=, 0
3-8+9=, 4
5+5-6=, 4
7+0-2=, 5
8+7+0=, 15
5-0-7=, -2
0+7+3=, 10
3+7+2=, 12
7-2+5=, 10
0+2-0=, 2
4+0-0=, 4
2+5+6=, 13
5+4-5=, 4
6-0+0=, 6
9+2-5=, 6
9+2+4=, 15
1-2+1=, 0
4-8+6=, 2
7+2+4=, 13
3-8-8=, -13
4-2+6=, 8
0-4+2=, -2
0-7-2=, -9
1+4-2=, 3
8+3-3=, 8
9-9-1=, -1
2-3-2=, -3
4+9-8=, 5
9+8-2=, 15
6+2-3=, 5
7-3-3=, 1
8+0-8=, 0
5-5-7=, -7
3+8+4=, 15
7-9-6=, -8
4+9-7=, 6
2-3-8=, -9
8-2-3=, 3
0-4+7=, 3
8-0+6=, 14
4-2-8=, -6
7-1+0=, 6
0+4+6=, 10
7+4+2=, 13
4+3-7=, 0
3-9-9=, -15
6-9+6=, 3
2+7+5=, 14
9-8+8=, 9
3-1+4=, 6
3+0-7=, -4
4+7-6=, 5
7+3+8=, 18
6+4+0=, 10
3-8+6=, 1
1-8+8=, 1
4+0+8=, 12
8+1+4=, 13
8+3+9=, 20
0+7+7=, 14
3+5-4=, 4
8-7+7=, 8
5-8-4=, -7
9-5-9=, -5
9-2-0=, 7
3-8-9=, -14
8-6-5=, -3
6+6+3=, 15
0-5+9=, 4
0+0-6=, -6
4+1-4=, 1
2+2+4=, 8
5+4+2=, 11
0-9-5=, -14
3+1-6=, -2
3+4-7=, 0
3-1+2=, 4
2-5-1=, -4
0+0+4=, 4
3-3-1=, -1
1-6-0=, -5
9-2+9=, 16
5+3-2=, 6
6+6-2=, 10
7+6+1=, 14
7-7-4=, -4
5-5-7=, -7
3-9-4=, -10
2+2-0=, 4
2+2+8=, 12
3-1+8=, 10
1+2-4=, -1
8-6+5=, 7
6-4-1=, 1
7+6-9=, 4
0-6+4=, -2
5+7+8=, 20
8-1-6=, 1
0-3-2=, -5
9-8+2=, 3
8+2-2=, 8
2+0+4=, 6
7+0-2=, 5
7+0+7=, 14
7+1+2=, 10
4+1-5=, 0
8+9+5=, 22
4+3-3=, 4
0-4-8=, -12
3-5-8=, -10
1+5+2=, 8
5+7-5=, 7
1-4+9=, 6
9-7-5=, -3
7+1+8=, 16
9+4+3=, 16
4+2+5=, 11
1+8+8=, 17
7-0+3=, 10
5-6+4=, 3
1+6-4=, 3
2+8+9=, 19
5-9+7=, 3
3+1+4=, 8
8-9-8=, -9
0+1+2=, 3
5+4-8=, 1
3+0+4=, 7
0+4+4=, 8
1-8-1=, -8
9-0-3=, 6
9+9-1=, 17
6+5-1=, 10
9-0-6=, 3
0-3-1=, -4
1+3+6=, 10
8-2-8=, -2
6+8+8=, 22
9-9-9=, -9
3+7+7=, 17
9-3+3=, 9
5+3+1=, 9
7-1-4=, 2
2+3-9=, -4
1+5-1=, 5
7-9+7=, 5
1-0-4=, -3
8+3-1=, 10
7-2-9=, -4
3+4-1=, 6
0+7-4=, 3
1+2-8=, -5
5-4-1=, 0
2+8-3=, 7
8-9+7=, 6
2+0-0=, 2
6-0-8=, -2
8-4+8=, 12
6+6+5=, 17
2-7+4=, -1
2+6-0=, 8
5+3-7=, 1
3+0+0=, 3
2+9-3=, 8
4-0+9=, 13
8+3-4=, 7
8-0+8=, 16
6+0+3=, 9
8+6-5=, 9
7-4-0=, 3
3+9+7=, 19
5-9+1=, -3
5-6+2=, 1
6+8-4=, 10
7+4+8=, 19
6+5+1=, 12
8-4+6=, 10
0+6+5=, 11
6+0-5=, 1
4-1+7=, 10
8-1+6=, 13
5-7-5=, -7
7+0-3=, 4
5-2+2=, 5
6-7+6=, 5
3+1+0=, 4
4-9+6=, 1
2-5-7=, -10
2-2+2=, 2
5+2+6=, 13
9+6-4=, 11
1-5-6=, -10
3+9-5=, 7
1+1-4=, -2
0+4-8=, -4
1+5+9=, 15
4+4+7=, 15
8+4-6=, 6
5+4+1=, 10
6-2+5=, 9
4-5-4=, -5
4-4+7=, 7
0+6-9=, -3
5+7-1=, 11
8-2-8=, -2
5-7-8=, -10
6+3-6=, 3
0+0+0=, 0
9+3+2=, 14
0+5+8=, 13
1-3+0=, -2
7+7+9=, 23
3-2+4=, 5
6+6+0=, 12
7+1+5=, 13
7-1+4=, 10
5+3+7=, 15
8+1+2=, 11
9+7+8=, 24
3-4-8=, -9
6-4+7=, 9
4-0-2=, 2
2-2+8=, 8
0+7-9=, -2
0-0-6=, -6
6-7+3=, 2
4-5-3=, -4
6+9-6=, 9
0-9+1=, -8
8-1+4=, 11
5-1+6=, 10
5+7-3=, 9
0-8-0=, -8
3-3+9=, 9
1+5+7=, 13
8+4+2=, 14
7-3-6=, -2
9+6-3=, 12
9+8+9=, 26
4+8-9=, 3
4+8-0=, 12
8-1-0=, 7
1-7+4=, -2
8-9+8=, 7
1-4-8=, -11
2-4-4=, -6
4-3-4=, -3
5+2-1=, 6
7-4-3=, 0
6-9+1=, -2
3-3+5=, 5
2+6-1=, 7
9-0+5=, 14
2-6+8=, 4
0-6-7=, -13
0-0+0=, 0
9+8+5=, 22
9-1-3=, 5
7+6+4=, 17
3+1+7=, 11
9+6+4=, 19
9-9-4=, -4
5+0-0=, 5
4-1-8=, -5
5-3-3=, -1
3+1-7=, -3
9-4+0=, 5
0-4-6=, -10
4-5-7=, -8
7-3-9=, -5
7-5+4=, 6
7+3-3=, 7
1-6+9=, 4
6+0-5=, 1
0+2+5=, 7
5+6+0=, 11
6-2-7=, -3
6+2+3=, 11
0+2-6=, -4
4+0+1=, 5
4+6+2=, 12
6+4-9=, 1
6-9+8=, 5
4+9+2=, 15
9+5+6=, 20
7-1+0=, 6
6-0-7=, -1
5-6+2=, 1
2-0+3=, 5
6-0-6=, 0
5+3+5=, 13
0-8+3=, -5
2-1+9=, 10
5+7+6=, 18
8+2-4=, 6
3-7-7=, -11
5-2+1=, 4
2-6+2=, -2
0+2+8=, 10
2-5-7=, -10
7-9-7=, -9
8+9+2=, 19
4-9+1=, -4
9+8+7=, 24
2-7-8=, -13
7+3-1=, 9
7-4-9=, -6
6+6-8=, 4
0-5+1=, -4
3+2+7=, 12
8+9+1=, 18
6+3-1=, 8
6-2-5=, -1
9-2-9=, -2
8+4-9=, 3
5+7+6=, 18
3+3+5=, 11
6-0+0=, 6
6+6-5=, 7
2+3-7=, -2
5+1-7=, -1
8+8-8=, 8
3-7+0=, -4
9+4+2=, 15
6+7-1=, 12
7-1+2=, 8
8+7-4=, 11
9+1+1=, 11
0-4+4=, 0
8+3+4=, 15
1-9-2=, -10
7+0-9=, -2
3+8-8=, 3
8+9-1=, 16
0-8+0=, -8
9+5+7=, 21
4+6+9=, 19
0-3+8=, 5
3+3+2=, 8
9+9-3=, 15
8-6+4=, 6
2-8+0=, -6
1+7-1=, 7
1-9-6=, -14
5+0+9=, 14
6+3-5=, 4
5+4+8=, 17
0-3-5=, -8
5+4+9=, 18
2-1-3=, -2
6-6+4=, 4
3-1-1=, 1
9-2-9=, -2
5+3-6=, 2
6-0-0=, 6
6-3+5=, 8
9-1+4=, 12
3+6-3=, 6
4+4-4=, 4
3-5+1=, -1
3+6+0=, 9
6+5+8=, 19
8-4-6=, -2
7+1-9=, -1
0+4+9=, 13
8+6-2=, 12
4-3-7=, -6
3-4-2=, -3
6+9+2=, 17
1-2-9=, -10
4+4+3=, 11
8-0+8=, 16
5-9+9=, 5
0-9+6=, -3
1-7-9=, -15
7-7+4=, 4
9+0+4=, 13
5+4+3=, 12
1-8+2=, -5
1+7-2=, 6
7-5-9=, -7
4+4+3=, 11
4-7-2=, -5
7-4+6=, 9
5+0-0=, 5
3-6-5=, -8
3-9+3=, -3
3-6+2=, -1
5+4-6=, 3
3-3+6=, 6
9+8+4=, 21
3-2-3=, -2
2-9+1=, -6
7-1-0=, 6
8+7-2=, 13
1-3-3=, -5
9+3-1=, 11
4+2-0=, 6
5-8+7=, 4
7+6+3=, 16
8+8-8=, 8
9+5-5=, 9
7+9-1=, 15
9+9+0=, 18
9-5+7=, 11
3-0-2=, 1
3-8-0=, -5
0-5+7=, 2
8-0-9=, -1
7-4-5=, -2
8-8-2=, -2
2-4+8=, 6
0-9+7=, -2
7+0-7=, 0
1-9+3=, -5
8+1-8=, 1
1+9+3=, 13
3+7+5=, 15
2-8+2=, -4
2-1-0=, 1
5-1+8=, 12
2-0-1=, 1
3+0-6=, -3
5+4-0=, 9
1+4+4=, 9
3-4-6=, -7
0+1+7=, 8
9-2+2=, 9
4-2-2=, 0
2+3+1=, 6
7+2-3=, 6
5+2-1=, 6
6+6+0=, 12
2+3-2=, 3
6-6-0=, 0
7-4+9=, 12
0-9+5=, -4
6-5-8=, -7
2-4-6=, -8
6+1+1=, 8
6-9+6=, 3
3-8-3=, -8
9-5-2=, 2
1+6+2=, 9
0-5-5=, -10
7-6-9=, -8
7+0-8=, -1
2+9+6=, 17
3-8+6=, 1
6-8+3=, 1
0+6-9=, -3
6-7+5=, 4
8+8-1=, 15
1+1-7=, -5
9+5+3=, 17
3-4+8=, 7
7+7-4=, 10
6-8-8=, -10
0+7+5=, 12
1+2-6=, -3
1-5-5=, -9
1+5-6=, 0
7-7-7=, -7
3-0+1=, 4
0-0-6=, -6
5+0+9=, 14
2+7-0=, 9
6+6+0=, 12
4-2+9=, 11
0-5-6=, -11
8+4-7=, 5
1+8-2=, 7
5-8-6=, -9
6-9-7=, -10
5-9-4=, -8
2+1+1=, 4
1+2+1=, 4
9-5-2=, 2
8+6-5=, 9
2+2-4=, 0
3+5-4=, 4
6+1+7=, 14
3+7-8=, 2
3+4-1=, 6
5+6+6=, 17
4-1-8=, -5
8-3+4=, 9
5-4-7=, -6
9-8-4=, -3
3-5+1=, -1
7-0-4=, 3
9+4+8=, 21
1+9+1=, 11
2+8+1=, 11
6+5-5=, 6
4+4-4=, 4
2+8+3=, 13
2-0+4=, 6
8-2+7=, 13
3+4-3=, 4
1+1-7=, -5
4+5-8=, 1
1-7+6=, 0
7+6-1=, 12
7-4+8=, 11
5-3+7=, 9
0+7+7=, 14
1+2+1=, 4
8-2-3=, 3
3-2+6=, 7
3+3-6=, 0
2+2+1=, 5
6-4-6=, -4
3-5-7=, -9
8-0-4=, 4
2+8-8=, 2
6-9+9=, 6
3-3-2=, -2
2+5+9=, 16
2+2-4=, 0
0-9-4=, -13
6-0-5=, 1
8-9+1=, 0
8+2+1=, 11
2-9-0=, -7
6+6+4=, 16
2-5-5=, -8
9-8+9=, 10
3-8+0=, -5
4-0+3=, 7
0-6+8=, 2
7+7+3=, 17
8+3-5=, 6
8-1+6=, 13
4-7-7=, -10
2+9-7=, 4
8-6+4=, 6
3-2-6=, -5
6+7-1=, 12
2+9-7=, 4
3-1-9=, -7
6+1-5=, 2
6-9+1=, -2
1+7-1=, 7
5-2-6=, -3
8-5-9=, -6
2-1+9=, 10
4+8+7=, 19
5+5+0=, 10
5-2+3=, 6
2-3+4=, 3
0+3+4=, 7
2+1-8=, -5
6-8-3=, -5
1+4+2=, 7
6-0-2=, 4
4-0-3=, 1
4+5-8=, 1
8-4+0=, 4
2+0-3=, -1
2+3-9=, -4
4+1+6=, 11
9-6+9=, 12
2+1-0=, 3
8-7+3=, 4
2+4-6=, 0
3-7+6=, 2
7-2-6=, -1
6-6-5=, -5
1+3-6=, -2
3-2+0=, 1
6-9+2=, -1
4+0-0=, 4
4+2-0=, 6
0+4+5=, 9
6+2+4=, 12
4+0-8=, -4
7-3+7=, 11
1+3+7=, 11
5-0+8=, 13
6+9+7=, 22
6-3+3=, 6
4-3+1=, 2
7+3-6=, 4
5+0-3=, 2
2+8-5=, 5
9-6-7=, -4
2+9-8=, 3
1+5-5=, 1
6+7+2=, 15
1-6-2=, -7
2-0+7=, 9
1-3-7=, -9
5-2+9=, 12
1+4-0=, 5
0-6-1=, -7
5-0-7=, -2
4-3-0=, 1
8+9+2=, 19
0+2-3=, -1
7-4+2=, 5
7+1+8=, 16
6-2+9=, 13
5+8-1=, 12
6-9+5=, 2
6-8-7=, -9
8+3-7=, 4
9-6-1=, 2
1-0-3=, -2
9-0-5=, 4
6-2+1=, 5
1-1-5=, -5
5-2+0=, 3
5-8+7=, 4
1+3-1=, 3
7-2+7=, 12
9-2+6=, 13
1-8+0=, -7
7+3+7=, 17
7-7+7=, 7
4-3-6=, -5
2+6-6=, 2
7-8+9=, 8
9-6-1=, 2
2+5-3=, 4
0+6-2=, 4
5+7-0=, 12
0+6-5=, 1
1+2-5=, -2
4+8-3=, 9
3-7+0=, -4
7-9-4=, -6
0-9-9=, -18
4-0-1=, 3
7+0+8=, 15
2-6+0=, -4
6+7-5=, 8
9-6-5=, -2
2+8-9=, 1
5-1-3=, 1
6+8+8=, 22
4-9+0=, -5
3-9-0=, -6
7-5-4=, -2
8-5+5=, 8
8-5+7=, 10
4+1+5=, 10
0+1-3=, -2
8-5+4=, 7
0+4-4=, 0
5+8+1=, 14
7+0+8=, 15
8+9-1=, 16
5+1+7=, 13
9+2-0=, 11
1+1-8=, -6
6+0-1=, 5
1-9+4=, -4
6-1-8=, -3
9-3+6=, 12
8+4+7=, 19
9-8+1=, 2
9+7-7=, 9
2-9-7=, -14
6-3+9=, 12
4+5-3=, 6
4-6+9=, 7
4-4+9=, 9
4-1-8=, -5
6-3+2=, 5
7-1+3=, 9
9-5+2=, 6
2+5+1=, 8
6-6+0=, 0
3-8-9=, -14
1+0+0=, 1
1-1-4=, -4
3-7-0=, -4
9-3+9=, 15
4+7+2=, 13
5+7-6=, 6
0-8-9=, -17
3+5-3=, 5
0+3-5=, -2
7-5-6=, -4
9-5-1=, 3
8+3-1=, 10
6+4+1=, 11
1+9-6=, 4
7-5-7=, -5
6-6+0=, 0
3-6-5=, -8
5-0+1=, 6
2+6-9=, -1
4+4-5=, 3
9-6-6=, -3
2+5+1=, 8
2+5-6=, 1
8-0-7=, 1
3-2+8=, 9
2+4-5=, 1
0-5-7=, -12
6-9+7=, 4
2+8-4=, 6
3-1+1=, 3
4+2+0=, 6
1-1+6=, 6
2+9+1=, 12
2-2+7=, 7
7-3+3=, 7
9-3+7=, 13
7-7+0=, 0
4-9+8=, 3
8+4+8=, 20
2-3+7=, 6
2+8+1=, 11
1+4+4=, 9
1+7-6=, 2
6-5-1=, 0
0+0-7=, -7
9+9+3=, 21
6+3+8=, 17
4+6+6=, 16
9-5+2=, 6
5+6+2=, 13
1-0+3=, 4
5-4+2=, 3
2-2-8=, -8
2+4-1=, 5
6-2+7=, 11
0-6-8=, -14
3-6+9=, 6
6-1+8=, 13
5-8-2=, -5
6-6-8=, -8
3+7-6=, 4
1+5-1=, 5
3-9+9=, 3
9+4-3=, 10
6-8+9=, 7
9+6-2=, 13
1-7+8=, 2
8-8+3=, 3
9-8-0=, 1
3+3+8=, 14
0+6-8=, -2
1+9+7=, 17
7-6-0=, 1
3-9-0=, -6
0-5+6=, 1
3-7+6=, 2
2-3-3=, -4
7-1+6=, 12
3+8+8=, 19
7-7+8=, 8
1-4+4=, 1
0-5+9=, 4
9-6+8=, 11
9-4-8=, -3
9-6-5=, -2
2-1-2=, -1
1-9-3=, -11
8-0+5=, 13
5+7-3=, 9
4+2-7=, -1
4+6-5=, 5
7-8-2=, -3
8+4+8=, 20
3-6+4=, 1
9+8+9=, 26
4-1+8=, 11
2-1+2=, 3
1+8+0=, 9
3+8+9=, 20
3-8+6=, 1
2-1+7=, 8
0-4+7=, 3
5-9+3=, -1
5+9-9=, 5
9-5-9=, -5
7+3+6=, 16
1+5+5=, 11
6-0+2=, 8
2-9+6=, -1
7-4+9=, 12
6+8-9=, 5
7+9+7=, 23
3+7-1=, 9
8+8+5=, 21
2-1+5=, 6
3-0-3=, 0
5-5+0=, 0
1-7-6=, -12
8-7-4=, -3
7+8-8=, 7
0+0-0=, 0
6-6+6=, 6
9-9+6=, 6
9-3+1=, 7
0-3+7=, 4
8+3-6=, 5
8-6+6=, 8
9-7-3=, -1
4+9-5=, 8
9+6-6=, 9
9-7+0=, 2
7+6-6=, 7
4+5-8=, 1
6+7+0=, 13
3-6-8=, -11
8+2+0=, 10
2+1-5=, -2
9-1-7=, 1
7+8-5=, 10
4-4+6=, 6
7-1+1=, 7
0+4+7=, 11
4+8+1=, 13
2+0-6=, -4
7+5-0=, 12
9-3-8=, -2
6+2-6=, 2
5+5-3=, 7
8+5+9=, 22
0+6-0=, 6
7-6+3=, 4
3-4+5=, 4
8+6+9=, 23
6+3-4=, 5
6+1-1=, 6
5+6-4=, 7
3-1+4=, 6
8-7+3=, 4
5+3+0=, 8
0-9+3=, -6
0+4+8=, 12
2+3-5=, 0
2+8-7=, 3
6-3+7=, 10
2+3-4=, 1
9-9+9=, 9
6-4+3=, 5
9+8+5=, 22
9+5-9=, 5
0-2+5=, 3
0-1+2=, 1
2+4-2=, 4
9+0+6=, 15
4+6+5=, 15
0-9-7=, -16
2-9+2=, -5
7+7+0=, 14
0+3-2=, 1
7+4+0=, 11
3+5-4=, 4
8+6-5=, 9
2+3-3=, 2
1-3-6=, -8
3-1-3=, -1
2-6+2=, -2
2+8-5=, 5
6-6-9=, -9
2-7-2=, -7
1-7-2=, -8
7+3-1=, 9
8+2-7=, 3
3-7+1=, -3
0-4-2=, -6
4+0-1=, 3
8-4+7=, 11
5+3-4=, 4
4+4+9=, 17
5+9+3=, 17
7+5-4=, 8
3-6-8=, -11
0-9-2=, -11
2+1+1=, 4
5-1-4=, 0
8+4-9=, 3
3+6-6=, 3
9-5-2=, 2
4-7+2=, -1
0-6-4=, -10
9-4+0=, 5
3-4+2=, 1
6+5+1=, 12
7+0+6=, 13
1-3-9=, -11
5-6+5=, 4
4-6-3=, -5
4-7+6=, 3
4-1-1=, 2
4-3+7=, 8
0-6-4=, -10
3+4-7=, 0
2+5-6=, 1
5+4+4=, 13
2-0-6=, -4
1+4-8=, -3
0-4+3=, -1
2+8+6=, 16
4-4+4=, 4
3-0-8=, -5
8-6+3=, 5
5-4+3=, 4
1+0-7=, -6
6+8-1=, 13
3-3-8=, -8
5-2-0=, 3
4-8+4=, 0
4+7-3=, 8
5-7-7=, -9
0+0-1=, -1
9+9-8=, 10
4-3-6=, -5
1-3-9=, -11
0+9-7=, 2
1+7+3=, 11
1+3+3=, 7
9+4+8=, 21
9-2+9=, 16
1+4-4=, 1
0-0+6=, 6
8-2-1=, 5
2+5+1=, 8
4+9-1=, 12
6-6-7=, -7
0+1-3=, -2
8+0-0=, 8
8-9-6=, -7
4+6+9=, 19
1+7+8=, 16
8-4-1=, 3
9+6-0=, 15
2+7-9=, 0
0-5-7=, -12
4-9-5=, -10
4-7-4=, -7
1+3-7=, -3
4-4-8=, -8
2-0-0=, 2
8-3-0=, 5
8-9-8=, -9
7+3-3=, 7
9-0-8=, 1
1-6+0=, -5
6+8+2=, 16
6-3-0=, 3
6-8+2=, 0
9+4+9=, 22
9-1-3=, 5
2+3+5=, 10
4-3+9=, 10
2+4+3=, 9
4+4+2=, 10
4-8+9=, 5
3+1+2=, 6
0+6+6=, 12
7-3-9=, -5
3+2-0=, 5
4+2+4=, 10
9-9-9=, -9
4-3+2=, 3
5+9+8=, 22
8-4-7=, -3
6+8-8=, 6
3-7-5=, -9
6-1-9=, -4
8+5-1=, 12
2+0+5=, 7
6+6+8=, 20
3+7+1=, 11
8+5-4=, 9
3-5-9=, -11
6+4-9=, 1
2-8-5=, -11
8-6-1=, 1
9+4+4=, 17
9+1-0=, 10
6-3+7=, 10
1+2-0=, 3
8-4-1=, 3
6-8-2=, -4
8-5-9=, -6
8-6+4=, 6
0-4-8=, -12
1+3-1=, 3
2+0+9=, 11
2-9+8=, 1
9-6-0=, 3
6+1+7=, 14
1+0-5=, -4
5-6+3=, 2
6-5-2=, -1
1+3+3=, 7
9-4+6=, 11
2-7-4=, -9
2+9+2=, 13
9-2+0=, 7
5+5-6=, 4
5+2+4=, 11
0-1+6=, 5
8-8-4=, -4
4-2+2=, 4
8+8-9=, 7
8+2+4=, 14
0+8+2=, 10
3+3-2=, 4
0-1-9=, -10
1+3+6=, 10
4-6-2=, -4
4+0-5=, -1
4+4-3=, 5
9-7+9=, 11
7-9-2=, -4
1-4+7=, 4
9+0+5=, 14
2-7-5=, -10
9+9-2=, 16
4-4+3=, 3
3-0+0=, 3
5+7-7=, 5
5-4-5=, -4
0-9-7=, -16
5-0+6=, 11
5+4+1=, 10
0+4+8=, 12
8-2-5=, 1
5+1+5=, 11
7+8+9=, 24
0-3-8=, -11
2+8-1=, 9
6+9+3=, 18
4+9+7=, 20
8+4-8=, 4
1+3+4=, 8
5+7+3=, 15
6+7-5=, 8
2+3+5=, 10
0-7-4=, -11
5-9+5=, 1
8-4-0=, 4
1+1+1=, 3
9-1+0=, 8
1-2-7=, -8
5+5+7=, 17
9+6-6=, 9
7-6-3=, -2
7-4-0=, 3
5+7-5=, 7
5+6+3=, 14
6-6+4=, 4
8-6-5=, -3
3+2-7=, -2
6-0-1=, 5
0+5-3=, 2
0+5+7=, 12
1+3-4=, 0
9+9+8=, 26
4-5-2=, -3
8+8-7=, 9
0+4+2=, 6
3+8+7=, 18
7+5+9=, 21
1+8+9=, 18
9-0-3=, 6
2+4+0=, 6
1+6+0=, 7
2-7-9=, -14
3+8+0=, 11
8-1-9=, -2
0-2-7=, -9
1-7+9=, 3
9-4-0=, 5
4-3-2=, -1
7-8+4=, 3
8-1-5=, 2
5+4+9=, 18
0+3-3=, 0
5+2-8=, -1
5+1-8=, -2
4-1+4=, 7
2-6-6=, -10
9+4+4=, 17
2+0+5=, 7
7-2+1=, 6
3-2+4=, 5
2-9-2=, -9
8+8+6=, 22
0-9+5=, -4
5-4+6=, 7
1+0+0=, 1
4-9+8=, 3
3-8+9=, 4
4+7-1=, 10
9-9+1=, 1
2+7+5=, 14
7-2+6=, 11
2+1+6=, 9
6+7-1=, 12
2-3-8=, -9
8+9+6=, 23
0-4-9=, -13
7+6-2=, 11
5-9-8=, -12
9-6-8=, -5
6-3-6=, -3
2+7+2=, 11
6+9-2=, 13
0+4-8=, -4
3-6+3=, 0
9-5+2=, 6
2-1+2=, 3
5-2+1=, 4
2+8-3=, 7
3+1+0=, 4
7+0-4=, 3
7-5-7=, -5
8+9+7=, 24
8-2-1=, 5
4-3-2=, -1
5+0-0=, 5
7-2+6=, 11
9-4+1=, 6
0-1-5=, -6
1-6-7=, -12
4+8-0=, 12
2-3+4=, 3
4+9+3=, 16
8-0+5=, 13
1+5+1=, 7
1+1-4=, -2
8-9+4=, 3
1+7+7=, 15
1-1-1=, -1
7-7+7=, 7
9-9+3=, 3
3-6+6=, 3
1-9+5=, -3
5+1-9=, -3
3+7-2=, 8
3-5+7=, 5
0+9-8=, 1
7-1-5=, 1
6-9-2=, -5
3-4+1=, 0
2-0+8=, 10
3-3+1=, 1
3+9+9=, 21
2+6+2=, 10
7-1-0=, 6
4+8+7=, 19
1-6-4=, -9
4-4-2=, -2
2+2+8=, 12
8+7-2=, 13
3+7+5=, 15
6-4-2=, 0
0-9-2=, -11
2+6+9=, 17
7-3-3=, 1
